"filename", "language", "CSS", "SQL", "PHP", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\de.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 2, 5, 66
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\el.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-au.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-gb.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-nz.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\eo.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\es-us.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\es.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 4, 47
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\et.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\eu.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fa.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fi.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr-ca.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr-ch.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\gl.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\he.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hi.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hr.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hu.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hy-am.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\id.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\is.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\it.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ja.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ka.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\kk.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\km.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ko.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ku.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lb.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lt.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lv.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\mk.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ms.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nb.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ne.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nl.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nn.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pl.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pt-br.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pt.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ro.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ru.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\si-lk.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sk.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sl.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sm.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sq.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sr-cyrl.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sr.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sv.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ta-in.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\th.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\tr.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ug.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\uk.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\uz.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\vi.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\zh-cn.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 1, 4, 31
"c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\zh-tw.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
