Date : 2021-12-30 20:16:12
Directory : c:\xampp\htdocs\HosPortal new CSS
Total : 225 files,  57683 codes, 5519 comments, 8630 blanks, all 71832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-ma.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-sa.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar-tn.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ar.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\az.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bg.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bn.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\bs.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ca.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\cs.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\cy.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\da.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\de-at.js                     | JavaScript |         59 |          2 |          5 |         66 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\de.js                        | JavaScript |         59 |          2 |          5 |         66 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\el.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-au.js                     | JavaScript |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-gb.js                     | JavaScript |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\en-nz.js                     | JavaScript |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\eo.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\es-us.js                     | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\es.js                        | JavaScript |         43 |          0 |          4 |         47 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\et.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\eu.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fa.js                        | JavaScript |         27 |          0 |          4 |         31 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fi.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr-ca.js                     | JavaScript |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr-ch.js                     | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\fr.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\gl.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\he.js                        | JavaScript |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hi.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hr.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hu.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\hy-am.js                     | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\id.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\is.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\it.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ja.js                        | JavaScript |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ka.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\kk.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\km.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ko.js                        | JavaScript |         20 |          0 |          4 |         24 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ku.js                        | JavaScript |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lb.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lt.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\lv.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\mk.js                        | JavaScript |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ms.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nb.js                        | JavaScript |         35 |          0 |          4 |         39 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ne.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nl.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\nn.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pl.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pt-br.js                     | JavaScript |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\pt.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ro.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\ru.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\si-lk.js                     | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sk.js                        | JavaScript |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sl.js                        | JavaScript |         24 |          0 |          4 |         28 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\locales\sm.js                        | JavaScript |         20 |          0 |          4 |         24 |
